,district,name,state,chamber,party,incumbent
132,District 37,Karen Bass,California,house,Democratic Party,True
133,District 37,Ron Bassilian,California,house,Republican Party,False
134,District 38,Linda Sánchez,California,house,Democratic Party,True
135,District 38,Ryan Downing,California,house,Republican Party,False
136,District 39,Gil Cisneros,California,house,Democratic Party,False
137,District 39,Young Kim,California,house,Republican Party,False
138,District 40,Lucille Roybal-Allard,California,house,Democratic Party,True
139,District 40,Rodolfo Cortes Barragan,California,house,Green Party,False
140,District 41,Mark Takano,California,house,Democratic Party,True
141,District 41,Aja Smith,California,house,Republican Party,False
142,District 42,Ken Calvert,California,house,Republican Party,True
143,District 42,Julia Peacock,California,house,Democratic Party,False
144,District 43,Maxine Waters,California,house,Democratic Party,True
145,District 43,Omar Navarro,California,house,Republican Party,False
146,District 44,Nanette Barragán,California,house,Democratic Party,True
147,District 44,Aja Brown,California,house,Democratic Party,False
148,District 45,Mimi Walters,California,house,Republican Party,True
149,District 45,Katie Porter,California,house,Democratic Party,False
150,District 46,Lou Correa,California,house,Democratic Party,True
151,District 46,Russell Lambert,California,house,Republican Party,False
152,District 47,Alan Lowenthal,California,house,Democratic Party,True
153,District 47,John Briscoe,California,house,Republican Party,False
154,District 48,Dana Rohrabacher,California,house,Republican Party,True
155,District 48,Harley Rouda,California,house,Democratic Party,False
156,District 49,Mike Levin,California,house,Democratic Party,False
157,District 49,Diane Harkey,California,house,Republican Party,False
158,District 50,Duncan Hunter,California,house,Republican Party,True
159,District 50,Ammar Campa-Najjar,California,house,Democratic Party,False
160,District 51,Juan Vargas,California,house,Democratic Party,True
161,District 51,Juan Hidalgo Jr.,California,house,Republican Party,False
162,District 52,Scott Peters,California,house,Democratic Party,True
163,District 52,Omar Qudrat,California,house,Republican Party,False
164,District 53,Susan Davis,California,house,Democratic Party,True
165,District 53,Morgan Murtaugh,California,house,Republican Party,False
