,district,name,state
238,District 15,Kristen Carlson,Florida
239,District 15,Ross Spano,Florida
240,District 15,"<img alt=""Grey.png"" src=""https://cdn.ballotpedia.org/images/a/a7/Grey.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",Florida
241,District 16,Vern Buchanan,Florida
242,District 16,David Shapiro,Florida
243,District 16,Eric Allen,Florida
244,District 16,Sean Canfield,Florida
245,District 16,Robert Samuel Kaplan,Florida
246,District 17,Allen Ellison,Florida
247,District 17,Greg Steube,Florida
248,District 17,April Freeman,Florida
249,District 18,Brian Mast,Florida
250,District 18,Lauren Baer,Florida
251,District 19,Francis Rooney,Florida
252,District 19,David Holden,Florida
253,District 20,Alcee L. Hastings,Florida
254,District 21,Lois Frankel,Florida
255,District 22,Theodore E. Deutch,Florida
256,District 22,Nicolas Kimaz,Florida
257,District 23,Debbie Wasserman Schultz,Florida
258,District 23,Joe Kaufman,Florida
259,District 23,Tim Canova,Florida
260,District 23,Don Endriss,Florida
261,District 23,Stuart Reed,Florida
262,District 24,Frederica S. Wilson,Florida
263,District 25,Mario Diaz-Balart,Florida
264,District 25,Mary Barzee Flores,Florida
265,District 26,Carlos Curbelo,Florida
266,District 26,Debbie Mucarsel-Powell,Florida
267,District 26,Edward Bonilla,Florida
268,District 27,Donna Shalala,Florida
269,District 27,Maria Elvira Salazar,Florida
270,District 27,Mayra Joli,Florida
271,District 27,Cassandra Anna Hefton,Florida
272,District 27,Ian Hamilton Trottier,Florida
273,District 1,"Earl ""Buddy"" Carter",Georgia
274,District 1,Lisa Ring,Georgia
275,District 2,Sanford Bishop Jr.,Georgia
276,District 2,Herman West Jr.,Georgia
277,District 3,Drew Ferguson,Georgia
278,District 3,Chuck Enderlin,Georgia
279,District 4,Hank Johnson,Georgia
280,District 4,Joe Profit,Georgia
281,District 5,John Lewis,Georgia
282,District 6,Karen Handel,Georgia
283,District 6,Lucy McBath,Georgia
284,District 6,Jeremy Stubbs,Georgia
285,District 7,Rob Woodall,Georgia
286,District 7,Carolyn Bourdeaux,Georgia
287,District 8,Austin Scott,Georgia
288,District 8,Jimmy Cooper,Georgia
289,District 9,Doug Collins,Georgia
290,District 9,Josh McCall,Georgia
291,District 9,Clifford Baxter,Georgia
292,District 10,Jody Hice,Georgia
293,District 10,Tabitha Johnson-Green,Georgia
294,District 10,Patrick Moorehead,Georgia
295,District 11,Barry Loudermilk,Georgia
296,District 11,Flynn Broady Jr.,Georgia
297,District 11,Bar-Kim Green,Georgia
298,District 12,Rick Allen,Georgia
299,District 12,Francys Johnson,Georgia
300,District 12,Brian Brown,Georgia
301,District 12,Mary West,Georgia
302,District 13,David Scott,Georgia
303,District 13,David Callahan,Georgia
304,District 13,Martin L. Cowen,Georgia
305,District 14,Tom Graves,Georgia
306,District 14,Steven Foster,Georgia
307,District 1,Ed Case,Hawaii
308,District 1,Cam Cavasso,Hawaii
309,District 1,Zachary Burd,Hawaii
310,District 1,Michelle Rose Tippens,Hawaii
311,District 1,Calvin Griffin,Hawaii
312,District 2,Tulsi Gabbard,Hawaii
313,District 2,Brian Evans,Hawaii
314,District 1,Cristina McNeil,Idaho
315,District 1,Russ Fulcher,Idaho
316,District 1,W. Scott Howard,Idaho
317,District 1,Pro-Life,Idaho
318,District 1,Gordon Counsil,Idaho
319,District 1,Paul Farmer,Idaho
320,District 1,Natalie Fleming,Idaho
321,District 1,Michael Rath,Idaho
322,District 2,Michael Simpson,Idaho
323,District 2,Aaron Swisher,Idaho
324,District 1,Bobby Rush,Illinois
325,District 1,Jimmy Lee Tillman II,Illinois
326,District 1,Thomas Rudbeck,Illinois
327,District 2,Robin Kelly,Illinois
328,District 2,David Merkle,Illinois
329,District 3,Daniel Lipinski,Illinois
330,District 3,Arthur Jones,Illinois
331,District 3,Mat Tomkowiak,Illinois
332,District 3,&#91;2&#93;,Illinois
333,District 3,Kenneth Yerkes,Illinois
334,District 4,Jesus Garcia,Illinois
335,District 4,Mark Wayne Lorch,Illinois
336,District 4,Ann Melichar,Illinois
337,District 4,"Ruben Sanchez, Jr.",Illinois
338,District 5,Mike Quigley,Illinois
339,District 5,Tom Hanson,Illinois
340,District 6,Peter J. Roskam,Illinois
341,District 6,Sean Casten,Illinois
342,District 7,Danny K. Davis,Illinois
343,District 7,Craig Cameron,Illinois
344,District 7,Ahmed Salim,Illinois
345,District 8,Raja Krishnamoorthi,Illinois
346,District 8,Jitendra Diganvker,Illinois
347,District 8,Andrew Straw,Illinois
348,District 8,Vandana Jhingan,Illinois
349,District 9,Jan Schakowsky,Illinois
350,District 9,John Elleson,Illinois
351,District 10,Brad Schneider,Illinois
352,District 10,Doug Bennett,Illinois
353,District 11,Bill Foster,Illinois
354,District 11,Nick Stella,Illinois
355,District 12,Mike Bost,Illinois
356,District 12,Brendan Kelly,Illinois
357,District 12,Randy Auxier,Illinois
358,District 12,Charles Koen,Illinois
359,District 12,David Bequette,Illinois
360,District 12,Brendan Kelly,Illinois
361,District 12,Mike Bost,Illinois
362,District 12,Preston Nelson,Illinois
363,District 12,"<img alt=""Green Party"" src=""https://cdn.ballotpedia.org/images/9/9a/Green_Party_dot.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"">",Illinois
364,District 12,"<img alt=""Approved"" src=""https://cdn.ballotpedia.org/images/7/77/Yes.png"" width=""16"" height=""16"" data-file-width=""16"" data-file-height=""16"" />",Illinois
365,District 12,District 13,Illinois
366,District 12,Rodney Davis,Illinois
367,District 12,Betsy Londrigan,Illinois
368,District 14,Randy Hultgren,Illinois
369,District 14,Lauren Underwood,Illinois
370,District 15,John Shimkus,Illinois
371,District 15,Kevin Gaither,Illinois
372,District 16,Adam Kinzinger,Illinois
373,District 16,Sara Dady,Illinois
374,District 17,Cheri Bustos,Illinois
375,District 17,Bill Fawell,Illinois
376,District 18,Darin LaHood,Illinois
377,District 18,Junius Rodriguez,Illinois
378,District 1,Peter Visclosky,Indiana
379,District 1,Mark Leyva,Indiana
380,District 1,Jonathan Kleinman,Indiana
381,District 2,Jackie Walorski,Indiana
382,District 2,Mel Hall,Indiana
383,District 2,Richard Wolf,Indiana
384,District 3,Jim Banks,Indiana
385,District 3,Courtney Tritch,Indiana
386,District 4,Tobi Beck,Indiana
387,District 4,Jim Baird,Indiana
388,District 5,Susan Brooks,Indiana
389,District 5,Dee Thornton,Indiana
390,District 6,Jeannine Lee Lake,Indiana
391,District 6,Greg Pence,Indiana
392,District 6,&#91;3&#93;,Indiana
393,District 6,Heather Meloy,Indiana
394,District 6,John Miller,Indiana
395,District 7,Andre Carson,Indiana
396,District 7,Wayne Harmon,Indiana
397,District 8,Larry Bucshon,Indiana
398,District 8,William Tanoos,Indiana
399,District 9,Trey Hollingsworth,Indiana
400,District 9,Liz Watson,Indiana
401,District 3,District 4</span>,Iowa
402,District 1,Rod Blum,Iowa
403,District 1,Abby Finkenauer,Iowa
404,District 1,Troy Hageman,Iowa
405,District 1,Henry Gaff,Iowa
406,District 2,Dave Loebsack,Iowa
407,District 2,Chris Peters,Iowa
408,District 2,Mark Strauss,Iowa
409,District 2,Daniel Clark,Iowa
410,District 3,David Young,Iowa
411,District 3,Cindy Axne,Iowa
412,District 3,Paul Knupp,Iowa
413,District 3,Mark G. Elworth  Jr.,Iowa
414,District 3,Bryan Holder,Iowa
415,District 3,Joe Grandanette,Iowa
416,District 3,Cindy Axne,Iowa
417,District 3,Pete D&#39;Alessandro,Iowa
418,District 3,Eddie Mauro,Iowa
419,District 3,David Young,Iowa
420,District 3,"<img alt=""Libertarian Party"" src=""https://cdn.ballotpedia.org/images/f/f2/Specialsession.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",Iowa
421,District 3,&#91;4&#93;,Iowa
422,District 3,"<img alt=""Green Party"" src=""https://cdn.ballotpedia.org/images/9/9a/Green_Party_dot.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"">",Iowa
423,District 3,&#91;5&#93;,Iowa
424,District 3,"<img alt=""Grey.png"" src=""https://cdn.ballotpedia.org/images/a/a7/Grey.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",Iowa
425,District 3,&#91;6&#93;,Iowa
426,District 3,District 4,Iowa
427,District 3,Steve King,Iowa
428,District 3,J.D. Scholten,Iowa
429,District 3,Charles Aldrich,Iowa
430,District 3,Edward Peterson,Iowa
431,District 3,Kevin Yoder,Kansas
432,District 3,Sharice Davids,Kansas
433,District 3,Chris Clemmons,Kansas
434,District 1,James Comer,Kentucky
435,District 1,Paul Walker,Kentucky
436,District 2,Brett Guthrie,Kentucky
437,District 2,Hank Linderman,Kentucky
438,District 2,Thomas Loecken,Kentucky
439,District 3,John Yarmuth,Kentucky
440,District 3,Vickie Yates Glisson,Kentucky
441,District 3,Gregory Boles,Kentucky
442,District 4,Thomas Massie,Kentucky
443,District 4,Seth Hall,Kentucky
444,District 4,Mike Moffett,Kentucky
445,District 4,David Goodwin,Kentucky
446,District 5,Hal Rogers,Kentucky
447,District 5,Kenneth Stepp,Kentucky
448,District 5,Billy Ray Wilson,Kentucky
449,District 6,Andy Barr,Kentucky
450,District 6,Amy McGrath,Kentucky
451,District 6,Frank Harris,Kentucky
452,District 6,James Germalic,Kentucky
453,District 6,Rikka Wallin,Kentucky
454,District 1,District 2</span>,Louisiana
455,District 1,District 3</span>,Louisiana
456,District 1,District 4</span>,Louisiana
457,District 1,District 5</span>,Louisiana
458,District 1,District 6</span>,Louisiana
459,District 1,See also</span>,Louisiana
460,District 1,Footnotes</span>,Louisiana
461,District 1,U.S. House,Louisiana
462,District 1,Steve Scalise,Louisiana
463,District 1,Lee Ann Dugas,Louisiana
464,District 1,Jim Francis,Louisiana
465,District 1,Tammy Savoie,Louisiana
466,District 1,Howard Kearney,Louisiana
467,District 1,Frederick Jones,Louisiana
468,District 1,District 2,Louisiana
469,District 1,Cedric Richmond,Louisiana
470,District 1,Belden Batiste,Louisiana
471,District 1,Shawndra Rodriguez,Louisiana
472,District 1,Jesse Schmidt,Louisiana
473,District 1,District 3,Louisiana
474,District 1,Clay Higgins,Louisiana
475,District 1,Rob Anderson,Louisiana
476,District 1,Mildred &quot;Mimi&quot; Methvin,Louisiana
477,District 1,Larry Rader,Louisiana
478,District 1,Verone Thomas,Louisiana
479,District 1,Josh Guillory,Louisiana
480,District 1,Aaron Andrus,Louisiana
481,District 1,Phillip Conner,Louisiana
482,District 1,Dave Langlinais,Louisiana
483,District 1,District 4,Louisiana
484,District 1,Mike Johnson,Louisiana
485,District 1,Ryan Trundle,Louisiana
486,District 1,Mark Halverson,Louisiana
487,District 1,District 5,Louisiana
488,District 1,Ralph Abraham,Louisiana
489,District 1,Jessee Carlton Fleenor,Louisiana
490,District 1,Kyle Randol,Louisiana
491,District 1,Billy Burkette,Louisiana
492,District 1,District 6,Louisiana
493,District 1,Garret Graves,Louisiana
494,District 1,Justin DeWitt,Louisiana
495,District 1,Andie Saizan,Louisiana
496,District 1,Devin Lance Graham,Louisiana
497,District 1,"<img alt=""Ballotpedia-Wave Election Analysis Banner.png"" src=""https://cdn.ballotpedia.org/images/8/82/Ballotpedia-Wave_Election_Analysis_Banner.png"" width=""1100"" height=""162"" data-file-width=""956"" data-file-height=""141"" />",Louisiana
498,District 1,Donald Trump,Louisiana
499,District 1,Click here to read the full report,Louisiana
500,District 1,&#91;3&#93;,Louisiana
501,District 1,Hoover,Louisiana
502,District 1,Harding,Louisiana
503,District 1,Roosevelt,Louisiana
504,District 1,Obama,Louisiana
505,District 1,Wilson,Louisiana
506,District 1,Truman,Louisiana
507,District 1,Clinton,Louisiana
508,District 1,Hoover,Louisiana
509,District 1,Roosevelt,Louisiana
510,District 1,Johnson,Louisiana
511,District 1,&#91;4&#93;,Louisiana
512,District 1,Ford,Louisiana
513,District 1,&#91;5&#93;,Louisiana
514,District 1,"U.S. House battlegrounds, 2018",Louisiana
515,District 1,"U.S. House primaries, 2018",Louisiana
516,District 1,", ""Why Louisiana's Voting System Is Unusual,"" November 16, 1991",Louisiana
517,District 1,Richard Winger,Louisiana
518,District 1,↑,Louisiana
519,District 1,↑,Louisiana
520,District 1,↑,Louisiana
521,District 1,Wyoming,Louisiana
522,District 1,American Unity PAC,Louisiana
523,District 1,Chellie Pingree,Maine
524,District 1,Mark Holbrook,Maine
525,District 1,Martin Grohman,Maine
526,District 2,Bruce Poliquin,Maine
527,District 2,Jared Golden,Maine
528,District 2,Tiffany Bond,Maine
529,District 2,Will Hoar,Maine
530,District 2,Dennis O&#39;Connor,Maine
531,District 2,Danielle VanHelsing,Maine
532,District 2,Henry John Bear,Maine
533,District 1,Andy Harris,Maryland
534,District 1,Jesse Colvin,Maryland
535,District 1,Jenica Martin,Maryland
536,District 2,Dutch Ruppersberger,Maryland
537,District 2,Liz Matory,Maryland
538,District 2,Guy Mimoun,Maryland
539,District 2,Michael Carney,Maryland
540,District 3,John Sarbanes,Maryland
541,District 3,Charles Anthony,Maryland
542,District 3,David Lashar,Maryland
543,District 4,Anthony Brown (Maryland),Maryland
544,District 4,George McDermott,Maryland
545,District 4,David Bishop,Maryland
546,District 5,Steny Hoyer,Maryland
547,District 5,William Devine III,Maryland
548,District 5,Jacob Pulcher,Maryland
549,District 5,Patrick Elder,Maryland
550,District 6,David Trone,Maryland
551,District 6,Amie Hoeber,Maryland
552,District 6,George Gluck,Maryland
553,District 6,Kevin Caldwell,Maryland
554,District 6,Ted Athey,Maryland
555,District 7,Elijah Cummings,Maryland
556,District 7,Richmond Davis,Maryland
557,District 7,David Griggs,Maryland
558,District 8,Jamie Raskin,Maryland
559,District 8,John Walsh,Maryland
560,District 8,Jasen Wunder,Maryland
561,District 1,Richard Neal,Massachusetts
562,District 2,Jim McGovern,Massachusetts
563,District 2,Tracy Lovvorn,Massachusetts
564,District 2,Paul Grady,Massachusetts
565,District 3,Lori Trahan,Massachusetts
566,District 3,Rick Green,Massachusetts
567,District 3,Mike Mullen,Massachusetts
568,District 4,Joseph Kennedy III,Massachusetts
569,District 5,Katherine Clark,Massachusetts
570,District 5,John Hugo,Massachusetts
571,District 6,Seth Moulton,Massachusetts
572,District 6,Joseph Schneider,Massachusetts
573,District 6,Mary Jean Charbonneau,Massachusetts
574,District 7,Ayanna Pressley,Massachusetts
575,District 8,Stephen Lynch,Massachusetts
576,District 9,Bill Keating,Massachusetts
577,District 9,Peter Tedeschi,Massachusetts
578,District 2,Jason Lewis,Minnesota
579,District 2,Angie Craig,Minnesota
580,District 2,Bradley Svenson,Minnesota
581,District 3,Erik Paulsen,Minnesota
582,District 3,Dean Phillips,Minnesota
583,District 4,Betty McCollum,Minnesota
584,District 4,Greg Ryan,Minnesota
585,District 4,Susan Pendergast Sindt,Minnesota
586,District 5,Ilhan Omar,Minnesota
587,District 5,Jennifer Zielinski,Minnesota
588,District 5,Les Lester,Minnesota
589,District 6,Tom Emmer,Minnesota
590,District 6,Ian Todd,Minnesota
591,District 7,Collin Peterson,Minnesota
592,District 7,Dave Hughes,Minnesota
593,District 1,Trent Kelly,Mississippi
594,District 1,Randy Wadkins,Mississippi
595,District 1,Tracella Lou O'Hara Hill,Mississippi
596,District 2,Bennie Thompson,Mississippi
597,District 2,Troy Ray,Mississippi
598,District 2,Irving Harris,Mississippi
599,District 3,Michael Evans,Mississippi
600,District 3,Michael Guest,Mississippi
601,District 3,Matthew Holland,Mississippi
602,District 4,Steven Palazzo,Mississippi
603,District 4,Jeramey Anderson,Mississippi
604,District 4,Lajena Sheets,Mississippi
605,District 1,William Lacy Clay,Missouri
606,District 1,Robert Vroman,Missouri
607,District 1,Robb Cunningham,Missouri
608,,Greg Gianforte,Montana
609,,Kathleen Williams,Montana
610,,Elinor Swanson,Montana
611,,Doug Campbell,Montana
612,District 1,Jeff Fortenberry,Nebraska
613,District 1,Jessica McClure,Nebraska
614,District 2,Don Bacon,Nebraska
615,District 2,Kara Eastman,Nebraska
616,District 3,Adrian Smith,Nebraska
617,District 3,Paul Theobald,Nebraska
618,District 1,Dina Titus,Nevada
619,District 1,Joyce Bentley,Nevada
620,District 1,Daniel Garfield,Nevada
621,District 1,Robert Van Strawder,Nevada
622,District 2,Mark Amodei,Nevada
623,District 2,Clint Koble,Nevada
624,District 3,Susie Lee,Nevada
625,District 3,Danny Tarkanian,Nevada
626,District 3,Harry Vickers,Nevada
627,District 3,Steven Brown,Nevada
628,District 3,Gilbert Eisner,Nevada
629,District 3,David Goossen,Nevada
630,District 3,Tony Gumina,Nevada
631,District 4,Steven Horsford,Nevada
632,District 4,Cresent Hardy,Nevada
633,District 4,Warren Markowitz,Nevada
634,District 4,Gregg Luckner,Nevada
635,District 4,Dean McGonigle,Nevada
636,District 4,Rodney Smith,Nevada
637,,Chris Pappas,New_Hampshire
638,,Eddie Edwards,New_Hampshire
639,,Dan Belforti,New_Hampshire
640,,Shawn O&#39;Connor,New_Hampshire
641,District 1,Donald Norcross,New_Jersey
642,District 1,Paul Dilks,New_Jersey
643,District 1,Robert Shapiro,New_Jersey
644,District 1,Paul Hamlin,New_Jersey
645,District 1,Mohammad Kabir,New_Jersey
646,District 2,Jeff Van Drew,New_Jersey
647,District 2,Seth Grossman,New_Jersey
648,District 2,John Ordille,New_Jersey
649,District 2,Anthony Parisi Sanchez,New_Jersey
650,District 2,William Benfer,New_Jersey
651,District 2,Steven Fenichel,New_Jersey
652,District 3,Tom MacArthur,New_Jersey
653,District 3,Andrew Kim,New_Jersey
654,District 3,Lawrence Berlinski Jr.,New_Jersey
655,District 4,Chris Smith,New_Jersey
656,District 4,Josh Welle,New_Jersey
657,District 4,Michael Rufo,New_Jersey
658,District 4,Brian Reynolds,New_Jersey
659,District 4,Edward Stackhouse Jr.,New_Jersey
660,District 4,Felicia Stoler,New_Jersey
661,District 4,Allen Yusufov,New_Jersey
662,District 5,Josh Gottheimer,New_Jersey
663,District 5,John McCann,New_Jersey
664,District 5,James Tosone,New_Jersey
665,District 5,Wendy Goetz,New_Jersey
666,District 6,Frank Pallone,New_Jersey
667,District 6,Rich Pezzullo,New_Jersey
668,District 7,Leonard Lance,New_Jersey
669,District 7,Tom Malinowski,New_Jersey
670,District 7,Diane Moxley,New_Jersey
671,District 7,Gregg Mele,New_Jersey
672,District 8,Albio Sires,New_Jersey
673,District 8,John Muniz,New_Jersey
674,District 8,Dan Delaney,New_Jersey
675,District 8,Mahmoud Mahmoud,New_Jersey
676,District 9,Bill Pascrell,New_Jersey
677,District 9,Eric Fisher,New_Jersey
678,District 9,Claudio Belusic,New_Jersey
679,District 10,Donald Payne Jr.,New_Jersey
680,District 10,Agha Khan,New_Jersey
681,District 10,Scott DiRoma,New_Jersey
682,District 10,Cynthia Johnson,New_Jersey
683,District 10,Joan Miller,New_Jersey
684,District 11,Mikie Sherrill,New_Jersey
685,District 11,Jay Webber,New_Jersey
686,District 11,Ryan Martinez,New_Jersey
687,District 11,Robert Crook,New_Jersey
688,District 12,Bonnie Watson Coleman,New_Jersey
689,District 12,Daryl Kipnis,New_Jersey
690,District 1,Debra Haaland,New_Mexico
691,District 1,Janice Arnold-Jones,New_Mexico
692,District 1,Lloyd Princeton,New_Mexico
693,District 2,Xochitl Torres Small,New_Mexico
