,district,name,state,chamber,party,incumbent
55,District 4,Bruce Westerman,Arkansas,house,Republican Party,True
56,District 4,Hayden Shamel,Arkansas,house,Democratic Party,False
57,District 4,Tom Canada,Arkansas,house,Libertarian Party,False
58,District 4,Lee McQueen,Arkansas,house,,False
59,District 4,Jack Foster,Arkansas,house,,False
60,District 4,Susan Ann Martin,Arkansas,house,,False
61,District 1,Doug LaMalfa,California,house,Republican Party,True
62,District 1,Audrey Denney,California,house,Democratic Party,False
63,District 2,Jared Huffman,California,house,Democratic Party,True
64,District 2,Dale Mensing,California,house,Republican Party,False
65,District 3,John Garamendi,California,house,Democratic Party,True
66,District 3,Charlie Schaupp,California,house,Republican Party,False
67,District 4,Tom McClintock,California,house,Republican Party,True
68,District 4,Jessica Morse,California,house,Democratic Party,False
69,District 5,Mike Thompson,California,house,Democratic Party,True
70,District 5,Anthony Mills,California,house,Independent,False
71,District 6,Doris Matsui,California,house,Democratic Party,True
72,District 6,Jrmar Jefferson,California,house,Democratic Party,False
73,District 7,Ami Bera,California,house,Democratic Party,True
74,District 7,Andrew Grant,California,house,Republican Party,False
75,District 8,Paul Cook,California,house,Republican Party,True
76,District 8,Tim Donnelly,California,house,Republican Party,False
77,District 9,Jerry McNerney,California,house,Democratic Party,True
78,District 9,Marla Livengood,California,house,Republican Party,False
79,District 10,Jeff Denham,California,house,Republican Party,True
80,District 10,Josh Harder,California,house,Democratic Party,False
81,District 11,Mark DeSaulnier,California,house,Democratic Party,True
82,District 11,John Fitzgerald,California,house,Republican Party,False
83,District 12,Nancy Pelosi,California,house,Democratic Party,True
84,District 12,Lisa Remmer,California,house,Republican Party,False
85,District 13,Barbara Lee,California,house,Democratic Party,True
86,District 13,Laura Wells,California,house,Green Party,False
87,District 14,Jackie Speier,California,house,Democratic Party,True
88,District 14,Cristina Osmeña,California,house,Republican Party,False
89,District 15,Eric Swalwell,California,house,Democratic Party,True
90,District 15,Rudy Peters,California,house,Republican Party,False
91,District 16,Jim Costa,California,house,Democratic Party,True
92,District 16,Elizabeth Heng,California,house,Republican Party,False
93,District 17,Ro Khanna,California,house,Democratic Party,True
94,District 17,Ron Cohen,California,house,Republican Party,False
95,District 18,Anna Eshoo,California,house,Democratic Party,True
96,District 18,Christine Russell,California,house,Republican Party,False
97,District 19,Zoe Lofgren,California,house,Democratic Party,True
98,District 19,Justin Aguilera,California,house,Republican Party,False
99,District 20,Jimmy Panetta,California,house,Democratic Party,True
100,District 20,Ronald Paul Kabat,California,house,Independent,False
101,District 21,David Valadao,California,house,Republican Party,True
102,District 21,TJ Cox,California,house,Democratic Party,False
103,District 22,Devin Nunes,California,house,Republican Party,True
104,District 22,Andrew Janz,California,house,Democratic Party,False
105,District 23,Kevin McCarthy,California,house,Republican Party,True
106,District 23,Tatiana Matta,California,house,Democratic Party,False
107,District 24,Salud Carbajal,California,house,Democratic Party,True
108,District 24,Justin Fareed,California,house,Republican Party,False
109,District 25,Stephen Knight,California,house,Democratic Party,False
110,District 26,Julia Brownley,California,house,Democratic Party,True
111,District 26,Antonio Sabato Jr.,California,house,Republican Party,False
112,District 27,Judy Chu,California,house,Democratic Party,True
113,District 27,Bryan Witt,California,house,Democratic Party,False
114,District 28,Adam Schiff,California,house,Democratic Party,True
115,District 28,Johnny Nalbandian,California,house,Republican Party,False
116,District 29,Tony Cardenas,California,house,Democratic Party,True
117,District 29,Benito Bernal,California,house,Republican Party,False
118,District 30,Brad Sherman,California,house,Democratic Party,True
119,District 30,Mark Reed,California,house,Republican Party,False
120,District 31,Pete Aguilar,California,house,Democratic Party,True
121,District 31,Sean Flynn,California,house,Republican Party,False
122,District 32,Grace Napolitano,California,house,Democratic Party,True
123,District 32,Joshua Scott,California,house,Republican Party,False
124,District 33,Ted Lieu,California,house,Democratic Party,True
125,District 33,Kenneth Wright,California,house,Republican Party,False
126,District 34,Jimmy Gomez,California,house,Democratic Party,True
127,District 34,Kenneth Mejia,California,house,Green Party,False
128,District 35,Norma Torres,California,house,Democratic Party,True
129,District 35,Christian Valiente,California,house,Republican Party,False
130,District 36,Raul Ruiz,California,house,Democratic Party,True
131,District 36,Kimberlin Brown Pelzer,California,house,Republican Party,False
132,District 37,Karen Bass,California,house,Democratic Party,True
133,District 37,Ron Bassilian,California,house,Republican Party,False
134,District 38,Linda Sánchez,California,house,Democratic Party,True
135,District 38,Ryan Downing,California,house,Republican Party,False
136,District 39,Gil Cisneros,California,house,Democratic Party,False
137,District 39,Young Kim,California,house,Republican Party,False
138,District 40,Lucille Roybal-Allard,California,house,Democratic Party,True
139,District 40,Rodolfo Cortes Barragan,California,house,Green Party,False
140,District 41,Mark Takano,California,house,Democratic Party,True
141,District 41,Aja Smith,California,house,Republican Party,False
142,District 42,Ken Calvert,California,house,Republican Party,True
143,District 42,Julia Peacock,California,house,Democratic Party,False
144,District 43,Maxine Waters,California,house,Democratic Party,True
145,District 43,Omar Navarro,California,house,Republican Party,False
146,District 44,Nanette Barragán,California,house,Democratic Party,True
147,District 44,Aja Brown,California,house,Democratic Party,False
148,District 45,Mimi Walters,California,house,Republican Party,True
149,District 45,Katie Porter,California,house,Democratic Party,False
150,District 46,Lou Correa,California,house,Democratic Party,True
151,District 46,Russell Lambert,California,house,Republican Party,False
152,District 47,Alan Lowenthal,California,house,Democratic Party,True
153,District 47,John Briscoe,California,house,Republican Party,False
154,District 48,Dana Rohrabacher,California,house,Republican Party,True
155,District 48,Harley Rouda,California,house,Democratic Party,False
156,District 49,Mike Levin,California,house,Democratic Party,False
157,District 49,Diane Harkey,California,house,Republican Party,False
158,District 50,Duncan Hunter,California,house,Republican Party,True
159,District 50,Ammar Campa-Najjar,California,house,Democratic Party,False
160,District 51,Juan Vargas,California,house,Democratic Party,True
161,District 51,Juan Hidalgo Jr.,California,house,Republican Party,False
162,District 52,Scott Peters,California,house,Democratic Party,True
163,District 52,Omar Qudrat,California,house,Republican Party,False
164,District 53,Susan Davis,California,house,Democratic Party,True
165,District 53,Morgan Murtaugh,California,house,Republican Party,False
166,District 1,Diana DeGette,Colorado,house,Democratic Party,True
167,District 1,Casper Stockham,Colorado,house,Republican Party,False
168,District 1,Raymon Doane,Colorado,house,Libertarian Party,False
169,District 1,Paul Daly,Colorado,house,,False
170,District 1,Miguel Lopez,Colorado,house,Democratic Party,False
171,District 2,Joe Neguse,Colorado,house,Democratic Party,False
172,District 2,Peter Yu,Colorado,house,Republican Party,False
173,District 2,Roger Barris,Colorado,house,Libertarian Party,False
174,District 2,Nick Thomas,Colorado,house,Independent Party,False
175,District 2,Kevin Alumbaugh,Colorado,house,Green Party,False
176,District 3,Scott Tipton,Colorado,house,Republican Party,True
177,District 3,Diane Mitsch Bush,Colorado,house,Democratic Party,False
178,District 3,Gaylon Kent,Colorado,house,Libertarian Party,False
179,District 3,Mary Malarsie,Colorado,house,Independent Party,False
180,District 3,Allen Tompkins,Colorado,house,,False
181,District 3,Bruce Lohmiller,Colorado,house,Green Party,False
182,District 3,Gary Swing,Colorado,house,Green Party,False
183,District 3,Richard Tetu,Colorado,house,Grey.png,False
184,District 4,Ken Buck,Colorado,house,Republican Party,True
185,District 4,Karen McCormick,Colorado,house,Democratic Party,False
186,District 4,Richard Lyons Weil,Colorado,house,Democratic Party,False
187,District 4,John Vigil,Colorado,house,Green Party,False
188,District 5,Doug Lamborn,Colorado,house,Republican Party,True
189,District 5,Stephany Rose Spaulding,Colorado,house,Democratic Party,False
190,District 5,Douglas Randall,Colorado,house,Libertarian Party,False
191,District 5,Lori Furstenberg,Colorado,house,Democratic Party,False
192,District 5,John Croom,Colorado,house,Grey.png,False
193,District 6,Mike Coffman,Colorado,house,Colorado Party,True
194,District 6,Jason Crow,Colorado,house,Democratic Party,False
195,District 6,Kat Martin,Colorado,house,Libertarian Party,False
196,District 6,Dan Chapin,Colorado,house,Unaffiliated Party,False
197,District 6,Christopher Allen,Colorado,house,Green Party,False
198,District 7,Ed Perlmutter,Colorado,house,Democratic Party,True
199,District 7,Mark Barrington,Colorado,house,Republican Party,False
200,District 7,Jennifer Nackerud,Colorado,house,Libertarian Party,False
201,District 7,Nathan Clay,Colorado,house,,False
202,District 7,Marcus France,Colorado,house,,False
203,District 7,Steve Zorn,Colorado,house,Democratic Party,False
204,District 7,Michael Haughey,Colorado,house,Green Party,False
205,District 1,John Larson,Connecticut,house,Democratic Party,True
206,District 1,Jennifer Nye,Connecticut,house,Republican Party,False
207,District 1,Tom McCormick,Connecticut,house,Green Party,False
208,District 2,Joe Courtney,Connecticut,house,,False
209,District 2,Dan Postemski,Connecticut,house,Republican Party,False
210,District 2,Michelle Louise Bicking,Connecticut,house,Green Party,False
211,District 2,Daniel Reale,Connecticut,house,Libertarian Party,False
212,District 3,Rosa L. DeLauro,Connecticut,house,Democratic Party,True
213,District 3,Angel Cadena,Connecticut,house,Republican Party,False
214,District 4,Jim Himes,Connecticut,house,Democratic Party,True
215,District 4,Harry Arora,Connecticut,house,Republican Party,False
216,District 5,Jahana Hayes,Connecticut,house,Democratic Party,False
217,District 5,Manny Santos,Connecticut,house,Republican Party,False
218,District 5,John Pistone,Connecticut,house,Independent Conservative Party,False
224,,Lisa Blunt Rochester,Delaware,house,Green check mark transparent.png,False
225,,Scott Walker,Delaware,house,Republican Party,False
226,,Andrew Webb,Delaware,house,,False
227,,Marvin Davis,Delaware,house,,False
228,,Paul Johnston,Delaware,house,,False
229,District 2,Neal Dunn,Florida,house,Republican Party,True
230,District 2,Bob Rackleff,Florida,house,Democratic Party,False
231,District 3,Ted Yoho,Florida,house,Republican Party,True
232,District 3,Yvonne Hayes Hinson,Florida,house,Democratic Party,False
233,District 4,John Rutherford,Florida,house,Republican Party,True
234,District 4,Ges Selmont,Florida,house,Democratic Party,False
235,District 4,Joceline Berrios,Florida,house,Independent Party,False
236,District 4,Jason Bulger,Florida,house,Independent Party,False
237,District 5,Alfred Lawson,Florida,house,Democratic Party,True
238,District 5,Virginia Fuller,Florida,house,Republican Party,False
239,District 6,Nancy Soderberg,Florida,house,Democratic Party,False
240,District 6,Michael Waltz,Florida,house,Republican Party,False
241,District 7,Stephanie Murphy,Florida,house,Democratic Party,True
242,District 7,Mike Miller,Florida,house,Republican Party,False
243,District 7,Jose Valdez,Florida,house,,False
244,District 8,Bill Posey,Florida,house,Republican Party,True
245,District 8,Sanjay Patel,Florida,house,Democratic Party,False
246,District 9,Darren Soto,Florida,house,Democratic Party,True
247,District 9,Wayne Liebnitzky,Florida,house,Republican Party,False
248,District 10,Val Demings,Florida,house,Democratic Party,True
249,District 11,Daniel Webster,Florida,house,Florida Party,True
250,District 11,Dana Cottrell,Florida,house,Democratic Party,False
251,District 12,Gus M. Bilirakis,Florida,house,Republican Party,True
252,District 12,Chris Hunter,Florida,house,Democratic Party,False
253,District 12,Angelika Purkis,Florida,house,Independent Party,False
254,District 13,Charlie Crist,Florida,house,Democratic Party,True
255,District 13,George Buck,Florida,house,Republican Party,False
256,District 14,Kathy Castor,Florida,house,Democratic Party,True
257,District 15,Kristen Carlson,Florida,house,Democratic Party,False
258,District 15,Ross Spano,Florida,house,Republican Party,False
259,District 16,Vern Buchanan,Florida,house,Republican Party,True
260,District 16,David Shapiro,Florida,house,Democratic Party,False
261,District 16,Eric Allen,Florida,house,,False
262,District 16,Sean Canfield,Florida,house,,False
263,District 16,Robert Samuel Kaplan,Florida,house,,False
264,District 17,Allen Ellison,Florida,house,Democratic Party,False
265,District 17,Greg Steube,Florida,house,Republican Party,False
266,District 17,April Freeman,Florida,house,,False
267,District 18,Brian Mast,Florida,house,Republican Party,True
268,District 18,Lauren Baer,Florida,house,Democratic Party,False
269,District 19,Francis Rooney,Florida,house,Republican Party,True
270,District 19,David Holden,Florida,house,Democratic Party,False
271,District 20,Alcee L. Hastings,Florida,house,Democratic Party,True
272,District 21,Lois Frankel,Florida,house,Democratic Party,True
273,District 22,Theodore E. Deutch,Florida,house,Democratic Party,True
274,District 22,Nicolas Kimaz,Florida,house,Republican Party,False
275,District 23,Debbie Wasserman Schultz,Florida,house,Democratic Party,True
276,District 23,Joe Kaufman,Florida,house,Republican Party,False
277,District 23,Tim Canova,Florida,house,Independent Party,False
278,District 23,Don Endriss,Florida,house,Independent Party,False
279,District 23,Stuart Reed,Florida,house,,False
280,District 24,Frederica S. Wilson,Florida,house,Democratic Party,True
281,District 25,Mario Diaz-Balart,Florida,house,Republican Party,True
282,District 25,Mary Barzee Flores,Florida,house,Democratic Party,False
283,District 26,Carlos Curbelo,Florida,house,Republican Party,True
284,District 26,Debbie Mucarsel-Powell,Florida,house,Democratic Party,False
285,District 26,Edward Bonilla,Florida,house,,False
286,District 27,Donna Shalala,Florida,house,Democratic Party,False
287,District 27,Maria Elvira Salazar,Florida,house,Republican Party,False
288,District 27,Mayra Joli,Florida,house,Independent Party,False
289,District 27,Cassandra Anna Hefton,Florida,house,,False
290,District 27,Ian Hamilton Trottier,Florida,house,,False
291,District 1,"Earl ""Buddy"" Carter",Georgia,house,Republican Party,False
292,District 1,Lisa Ring,Georgia,house,Democratic Party,False
293,District 2,Sanford Bishop Jr.,Georgia,house,Democratic Party,False
294,District 2,Herman West Jr.,Georgia,house,Republican Party,False
295,District 3,Drew Ferguson,Georgia,house,,False
296,District 3,Chuck Enderlin,Georgia,house,Democratic Party,False
297,District 4,Hank Johnson,Georgia,house,,False
298,District 4,Joe Profit,Georgia,house,Republican Party,False
299,District 5,John Lewis,Georgia,house,Georgia Party,False
300,District 6,Karen Handel,Georgia,house,,False
301,District 6,Lucy McBath,Georgia,house,Democratic Party,False
302,District 6,Jeremy Stubbs,Georgia,house,Grey.png,False
303,District 7,Rob Woodall,Georgia,house,,False
304,District 7,Carolyn Bourdeaux,Georgia,house,Democratic Party,False
305,District 8,Austin Scott,Georgia,house,,True
306,District 8,Jimmy Cooper,Georgia,house,Green Party,False
307,District 9,Doug Collins,Georgia,house,,False
308,District 9,Josh McCall,Georgia,house,Democratic Party,False
309,District 9,Clifford Baxter,Georgia,house,Grey.png,False
310,District 10,Jody Hice,Georgia,house,,False
311,District 10,Tabitha Johnson-Green,Georgia,house,Democratic Party,False
312,District 10,Patrick Moorehead,Georgia,house,Independent,False
313,District 11,Barry Loudermilk,Georgia,house,,False
314,District 11,Flynn Broady Jr.,Georgia,house,Democratic Party,False
315,District 11,Bar-Kim Green,Georgia,house,Independent,False
316,District 12,Rick Allen,Georgia,house,,False
317,District 12,Francys Johnson,Georgia,house,Democratic Party,False
318,District 12,Brian Brown,Georgia,house,Independent,False
319,District 12,Mary West,Georgia,house,Independent,False
320,District 13,David Scott,Georgia,house,Georgia Party,False
321,District 13,David Callahan,Georgia,house,Republican Party,False
322,District 13,Martin L. Cowen,Georgia,house,Libertarian Party,False
323,District 14,Tom Graves,Georgia,house,,False
324,District 14,Steven Foster,Georgia,house,Democratic Party,False
325,District 1,Ed Case,Hawaii,house,Democratic Party,False
326,District 1,Cam Cavasso,Hawaii,house,Republican Party,False
327,District 1,Zachary Burd,Hawaii,house,Green Party,False
328,District 1,Michelle Rose Tippens,Hawaii,house,Libertarian Party,False
329,District 1,Calvin Griffin,Hawaii,house,Nonpartisan Party,False
330,District 2,Tulsi Gabbard,Hawaii,house,Democratic Party,True
331,District 2,Brian Evans,Hawaii,house,Republican Party,False
332,District 1,Cristina McNeil,Idaho,house,Democratic Party,False
333,District 1,Russ Fulcher,Idaho,house,Republican Party,False
334,District 1,W. Scott Howard,Idaho,house,Libertarian Party,False
335,District 1,Pro-Life,Idaho,house,Constitution Party,False
336,District 1,Gordon Counsil,Idaho,house,Grey.png,False
337,District 1,Paul Farmer,Idaho,house,Grey.png,False
338,District 1,Natalie Fleming,Idaho,house,Grey.png,False
339,District 1,Michael Rath,Idaho,house,Grey.png,False
340,District 2,Michael Simpson,Idaho,house,Idaho Party,True
341,District 2,Aaron Swisher,Idaho,house,Democratic Party,False
342,District 1,Bobby Rush,Illinois,house,Democratic Party,True
343,District 1,Jimmy Lee Tillman II,Illinois,house,Republican Party,False
344,District 1,Thomas Rudbeck,Illinois,house,Independent Party,False
345,District 2,Robin Kelly,Illinois,house,Democratic Party,True
346,District 2,David Merkle,Illinois,house,Republican Party,False
347,District 3,Daniel Lipinski,Illinois,house,Democratic Party,True
348,District 3,Arthur Jones,Illinois,house,Republican Party,False
349,District 3,Justin Hanson,Illinois,house,Grey.png,False
350,District 3,Kenneth Yerkes,Illinois,house,Grey.png,False
351,District 4,Jesus Garcia,Illinois,house,Democratic Party,False
352,District 4,Mark Wayne Lorch,Illinois,house,Republican Party,False
353,District 4,Ann Melichar,Illinois,house,,False
354,District 4,"Ruben Sanchez, Jr.",Illinois,house,,False
355,District 5,Mike Quigley,Illinois,house,Democratic Party,True
356,District 5,Tom Hanson,Illinois,house,Republican Party,False
357,District 6,Peter J. Roskam,Illinois,house,Republican Party,True
358,District 6,Sean Casten,Illinois,house,Democratic Party,False
359,District 7,Danny K. Davis,Illinois,house,Democratic Party,True
360,District 7,Craig Cameron,Illinois,house,Republican Party,False
361,District 7,Ahmed Salim,Illinois,house,,False
362,District 8,Raja Krishnamoorthi,Illinois,house,Democratic Party,True
363,District 8,Jitendra Diganvker,Illinois,house,Republican Party,False
364,District 8,Andrew Straw,Illinois,house,,False
365,District 8,Vandana Jhingan,Illinois,house,,False
366,District 9,Jan Schakowsky,Illinois,house,Democratic Party,True
367,District 9,John Elleson,Illinois,house,Republican Party,False
368,District 10,Brad Schneider,Illinois,house,Democratic Party,True
369,District 10,Doug Bennett,Illinois,house,Republican Party,False
370,District 11,Bill Foster,Illinois,house,Democratic Party,True
371,District 11,Nick Stella,Illinois,house,Republican Party,False
372,District 12,Mike Bost,Illinois,house,Republican Party,True
373,District 12,Brendan Kelly,Illinois,house,Democratic Party,False
374,District 12,Randy Auxier,Illinois,house,Green Party,False
375,District 12,Charles Koen,Illinois,house,,False
376,District 12,David Bequette,Illinois,house,,False
377,District 12,Brendan Kelly,Illinois,house,Democratic Party,False
378,District 12,Mike Bost,Illinois,house,Republican Party,True
379,District 12,Preston Nelson,Illinois,house,,False
380,District 13,Rodney Davis,Illinois,house,Republican Party,True
381,District 13,Betsy Londrigan,Illinois,house,Democratic Party,False
382,District 14,Randy Hultgren,Illinois,house,Republican Party,True
383,District 14,Lauren Underwood,Illinois,house,Democratic Party,False
384,District 15,John Shimkus,Illinois,house,Republican Party,True
385,District 15,Kevin Gaither,Illinois,house,Democratic Party,False
386,District 16,Adam Kinzinger,Illinois,house,Republican Party,True
387,District 16,Sara Dady,Illinois,house,Democratic Party,False
388,District 17,Cheri Bustos,Illinois,house,Democratic Party,True
389,District 17,Bill Fawell,Illinois,house,Republican Party,False
390,District 18,Darin LaHood,Illinois,house,Republican Party,True
391,District 18,Junius Rodriguez,Illinois,house,Democratic Party,False
392,District 1,Peter Visclosky,Indiana,house,Democratic Party,False
393,District 1,Mark Leyva,Indiana,house,Republican Party,False
394,District 1,Jonathan Kleinman,Indiana,house,Grey.png,False
395,District 2,Jackie Walorski,Indiana,house,,False
396,District 2,Mel Hall,Indiana,house,Democratic Party,False
397,District 2,Richard Wolf,Indiana,house,Grey.png,False
398,District 3,Jim Banks,Indiana,house,,False
399,District 3,Courtney Tritch,Indiana,house,Democratic Party,False
400,District 4,Tobi Beck,Indiana,house,Democratic Party,False
401,District 4,Jim Baird,Indiana,house,Republican Party,False
402,District 5,Susan Brooks,Indiana,house,,False
403,District 5,Dee Thornton,Indiana,house,Democratic Party,False
404,District 6,Jeannine Lee Lake,Indiana,house,Democratic Party,False
405,District 6,Greg Pence,Indiana,house,Republican Party,False
406,District 6,&#91;3&#93;,Indiana,house,Libertarian Party,False
407,District 6,Heather Meloy,Indiana,house,Grey.png,False
408,District 6,John Miller,Indiana,house,Grey.png,False
409,District 7,Andre Carson,Indiana,house,,False
410,District 7,Wayne Harmon,Indiana,house,Republican Party,False
411,District 8,Larry Bucshon,Indiana,house,,False
412,District 8,William Tanoos,Indiana,house,Democratic Party,False
413,District 9,Trey Hollingsworth,Indiana,house,,False
414,District 9,Liz Watson,Indiana,house,Democratic Party,False
415,District 1,Rod Blum,Iowa,house,Republican Party,True
416,District 1,Abby Finkenauer,Iowa,house,Democratic Party,False
417,District 1,Troy Hageman,Iowa,house,Libertarian Party,False
418,District 1,Henry Gaff,Iowa,house,,False
419,District 2,Dave Loebsack,Iowa,house,Democratic Party,True
420,District 2,Chris Peters,Iowa,house,Republican Party,False
421,District 2,Mark Strauss,Iowa,house,Libertarian Party,False
422,District 2,Daniel Clark,Iowa,house,Independent Party,False
423,District 3,David Young,Iowa,house,Iowa Party,True
424,District 3,Cindy Axne,Iowa,house,Democratic Party,False
425,District 3,Paul Knupp,Iowa,house,Green Party,False
426,District 3,Mark G. Elworth  Jr.,Iowa,house,Legal Medical Now Party Party,False
427,District 3,Bryan Holder,Iowa,house,Libertarian Party,False
428,District 3,Joe Grandanette,Iowa,house,Independent Party,False
429,District 3,Cindy Axne,Iowa,house,Democratic Party,False
430,District 3,Pete D'Alessandro,Iowa,house,,False
431,District 3,Eddie Mauro,Iowa,house,,False
432,District 4,Steve King,Iowa,house,Iowa Party,True
433,District 4,J.D. Scholten,Iowa,house,Democratic Party,False
434,District 4,Charles Aldrich,Iowa,house,Libertarian Party,False
435,District 4,Edward Peterson,Iowa,house,Independent Party,False
436,District 3,Kevin Yoder,Kansas,house,Republican Party,True
437,District 3,Sharice Davids,Kansas,house,Democratic Party,False
438,District 3,Chris Clemmons,Kansas,house,Libertarian Party,False
439,District 1,James Comer,Kentucky,house,Republican Party,True
440,District 1,Paul Walker,Kentucky,house,Democratic Party,False
441,District 2,Brett Guthrie,Kentucky,house,,True
442,District 2,Hank Linderman,Kentucky,house,Democratic Party,False
443,District 2,Thomas Loecken,Kentucky,house,Grey.png,False
444,District 3,John Yarmuth,Kentucky,house,,True
445,District 3,Vickie Yates Glisson,Kentucky,house,Republican Party,False
446,District 3,Gregory Boles,Kentucky,house,Libertarian Party,False
447,District 4,Thomas Massie,Kentucky,house,,True
448,District 4,Seth Hall,Kentucky,house,Democratic Party,False
449,District 4,Mike Moffett,Kentucky,house,Grey.png,False
450,District 4,David Goodwin,Kentucky,house,Grey.png,False
451,District 5,Hal Rogers,Kentucky,house,,True
452,District 5,Kenneth Stepp,Kentucky,house,Democratic Party,False
453,District 5,Billy Ray Wilson,Kentucky,house,Grey.png,False
454,District 6,Andy Barr,Kentucky,house,,True
455,District 6,Amy McGrath,Kentucky,house,Democratic Party,False
456,District 6,Frank Harris,Kentucky,house,Libertarian Party,False
457,District 6,James Germalic,Kentucky,house,Grey.png,False
458,District 6,Rikka Wallin,Kentucky,house,Grey.png,False
459,District 1,Steve Scalise,Louisiana,house,Republican Party,True
460,District 1,Lee Ann Dugas,Louisiana,house,Democratic Party,False
461,District 1,Jim Francis,Louisiana,house,Democratic Party,False
462,District 1,Tammy Savoie,Louisiana,house,Democratic Party,False
463,District 1,Howard Kearney,Louisiana,house,Libertarian Party,False
464,District 1,Frederick Jones,Louisiana,house,Independent Party,False
465,District 2,Cedric Richmond,Louisiana,house,Democratic Party,True
466,District 2,Belden Batiste,Louisiana,house,Independent Party,False
467,District 2,Shawndra Rodriguez,Louisiana,house,Independent Party,False
468,District 2,Jesse Schmidt,Louisiana,house,Independent Party,False
469,District 3,Clay Higgins,Louisiana,house,Republican Party,True
470,District 3,Rob Anderson,Louisiana,house,Democratic Party,False
471,District 3,"Mildred ""Mimi"" Methvin",Louisiana,house,,False
472,District 3,Larry Rader,Louisiana,house,Democratic Party,False
473,District 3,Verone Thomas,Louisiana,house,Democratic Party,False
474,District 3,Josh Guillory,Louisiana,house,Republican Party,False
475,District 3,Aaron Andrus,Louisiana,house,Libertarian Party,False
476,District 3,Phillip Conner,Louisiana,house,,False
477,District 3,Dave Langlinais,Louisiana,house,,False
478,District 4,Mike Johnson,Louisiana,house,Louisiana Party,True
479,District 4,Ryan Trundle,Louisiana,house,Democratic Party,False
480,District 4,Mark Halverson,Louisiana,house,Independent Party,False
481,District 5,Ralph Abraham,Louisiana,house,Republican Party,True
482,District 5,Jessee Carlton Fleenor,Louisiana,house,Democratic Party,False
483,District 5,Kyle Randol,Louisiana,house,Libertarian Party,False
484,District 5,Billy Burkette,Louisiana,house,Independent Party,False
485,District 6,Garret Graves,Louisiana,house,Republican Party,True
486,District 6,Justin DeWitt,Louisiana,house,Democratic Party,False
487,District 6,Andie Saizan,Louisiana,house,Democratic Party,False
488,District 6,Devin Lance Graham,Louisiana,house,Independent Party,False
489,District 1,Chellie Pingree,Maine,house,Democratic Party,True
